name_first name_last key_mlbam
Evert-Jean "'t Hoen" 439524
Brady Aalbers 444058
Jerry Aanonsen 554449
David Aardsma 430911
Ging Aaron 458209
Hank Aaron 110001
Lary Aaron 554450
Melvin Aaron 554451
Tommie Aaron 110002
Eric Aarons 598893
Don Aase 110003
Andy Abad 407577
"Che Yeyne" Abad 593458
Fernando Abad 472551
Irvin Abad 462309
Juan Abad 464128
Leonaldo Abad 523389
Luis Abad 602071
Marcos Abad 691952
Martin Abad 593815
Noel Abad 470308
Ramon Abad 501302
Yeremi Abad 685375
John Abadie 110004
Bill Abare 456182
Mike Abate 451473
Dom Abbadessa 668474
Ed Abbaticchio 110005
Pat Abbatiello 465834
Paul Abbatinozzi 465835
Chris Abbe 438125
Bert Abbey 110006
Charlie Abbey 110007
Frank Abbl 571428
Alex Abbott 656175
Andrew Abbott 671096
Chuck Abbott 437205
Cory Abbott 676265
Dan Abbott 110013
David Abbott 454604
Fred Abbott 110008
Glenn Abbott 110016
Jeff Abbott 110010
Jim Abbott 110009
Jim Abbott 444400
John Abbott 554454
Justin Abbott 489713
Kurt Abbott 110011
Kyle Abbott 110012
Lance Abbott 597054
Matt Abbott 503495
Nicholas Abbott 518388
Ody Abbott 110014
Paul Abbott 110015
Rick Abbott 554455
Sam Abbott 676619
Shea Abbott 485024
Todd Abbott 439668
Trent Abbott 518389
Tyler Abbott 595104
Steve Abbs 436644
Imani Abdullah 663563
Kenta Abe 538520
Shinnosuke Abe 506438
Mitch Abeita 542863
Jack Abel 456186
Kevin Abel 674265
Mick Abel 690953
Nate Abel 656176
Nick Abel 503415
Shawn Abel 499470
Joe Abell 444899
Scott Abell 436107
Todd Abell 438731
Tony Abell 441370
Joe Abellera 456513
Reiner Abello 684238
Luke Abels 628502
Joseph Abene 554459
Al Aber 110017
Frank Abercrombie 110018
John Abercrombie 438267
Reggie Abercrombie 430631
Scott Abercrombie 527929
Bill Abernathie 110019
Brent Abernathy 150466
Matt Abernathy 437342
Samson Abernathy 689539
Ted Abernathy 110020
Ted Abernathy 110021
Woody Abernathy 110022
Cliff Aberson 110023
Blane Abeyta 686588
Scott Abeyta 442478
Harry Ables 110024
Ben Abner 475197
Shawn Abner 110025
Jordan Aboites 661518
Anthony Aboud 655977
Adam Abraham 488651
Brian Abraham 473643
Glenn Abraham 465836
Matt Abraham 595105
Paul Abraham 454612
Andrew Abrahamowicz 694276
Ryan Abrahamson 572668
Ben Abram 666318
Matt Abram 449462
Jason Abramavicius 436142
Cal Abrams 110026
Casey Abrams 458259
CJ Abrams 682928
George Abrams 110027
Grant Abrams 452695
Trevor Abrams 680383
Matt Abramson 641292
Johnny Abrego 110028
Keith Abrego 527932
Tom Abrell 476667
Abner Abreu 506687
Adrian Abreu 593680
Alan Abreu 623887
Albert Abreu 656061
Aneury Abreu 464151
Angel Abreu 470302
Bobby Abreu 110029
Brian Abreu 673246
Bryan Abreu 650556
Cesar Abreu 468163
Dave Abreu 470167
Denny Abreu 468529
Dennys Abreu 464602
Edulin Abreu 491673
Erick Abreu 467728
Erick Abreu 667316
Esdras Abreu 546363
Felix Abreu 665781
Francis Abreu 446866
Frank Abreu 456190
Gilberto Abreu 593504
Gio Abreu 656177
Guillermo Abreu 464545
Hidekel Abreu 660759
Jeffry Abreu 674100
Jesus Abreu 593644
Joan Abreu 570692
Joe Abreu 110030
Joensy Abreu 674286
Johany Abreu 464944
Jonathan Abreu 456081
Jonathan Abreu 472395
Jose Abreu 602927
Jose Abreu 466513
José Abreu 547989
Jose Abreu 516759
Juan Abreu 473441
Juan Abreu 444874
"Juan Carlos" Abreu 669280
Julio Abreu 606128
Lazaro Abreu 456763
Michel Abreu 490314
Miguel Abreu 462574
Miguel Abreu 488652
Mike Abreu 656178
Nelfy Abreu 678645
Nelson Abreu 470727
Oscar Abreu 678412
Oscar Abreu 469365
Oscar Abreu 661378
Osvaldo Abreu 673576
Osvaldo Abreu 622435
Pablo Abreu 672764
Rafael Abreu 542401
Tony Abreu 473234
William Abreu 600296
Willie Abreu 624408
Wilyer Abreu 677800
Winston Abreu 275700
"Juan Manuel" Abril 671358
Odie Abril 456194
Derek Abriola 545454
Jared Abruzzo 408051
Jordan Abruzzo 453152
Eric Absher 445577
Lanny Abshier 443635
Nicholas Abshire 518390
Bill Abstein 110031
Amer Abugherir 469855
Jeremy Accardo 435618
Dennis Accomando 574008
Lou Acello 507992
"Bien Benil" Acenor 593736
Adrean Acevedo 452604
Alex Acevedo 446200
Anderson Acevedo 665322
Andury Acevedo 524349
Angel Acevedo 667686
Anthony Acevedo 445680
Augusto Acevedo 682783
Axel Acevedo 678677
Carlos Acevedo 600852
Carlos Acevedo 470205
Carlos Acevedo 649442
Danielin Acevedo 464264
Domingo Acevedo 642758
Edwin Acevedo 542219
Freddy Acevedo 458880
Hanley Acevedo 681755
Hector Acevedo 678950
Hector Acevedo 682964
Inocencio Acevedo 472256
Jean Acevedo 541638
Jenzo Acevedo 465075
Jesus Acevedo 455560
Jhohan Acevedo 591697
Jorge Acevedo 447445
Jose Acevedo 406895
Jose Acevedo 462675
Juan Acevedo 468264
Juan Acevedo 469408
Juan Acevedo 110032
Luis Acevedo 527936
Miguel Acevedo 622436
Milton Acevedo 455557
Nicolas Acevedo 542183
Noel Acevedo 570621
Pedro Acevedo 656087
Randy Acevedo 660827
Rony Acevedo 542177
Sandy Acevedo 593500
Sean Acevedo 686756
Stiven Acevedo 685776
Wilson Acevedo 650609
Yoneiry Acevedo 678635
Alfredo Aceves 469686
Anthony Aceves 445405
Jon Aceves 425842
Jermy Acey 461342
John Acha 452748
Nick Achberger 545455
Greg Acheatel 505328
Miguel Achil 468519
Matt Achilles 438915
"A. J." Achter 592091
Alex Achtermann 688927
Marc Acierno 499472
Dane Acker 686769
Jim Acker 110033
Larry Acker 445905
Mac Acker 605111
Tom Acker 110034
Aaron Ackerman 679299
Eric Ackerman 459302
Hunter Ackerman 592092
Scott Ackerman 437722
Dustin Ackley 554429
Fritz Ackley 110035
Dalton Acord 576168
Bo Acors 470413
Matt Acors 446312
Aaron Acosta 477358
Adam Acosta 457956
Adrian Acosta 628700
Alberto Acosta 464657
Alberto Acosta 506688
Aldry Acosta 672755
Alfredo Acosta 571053
Alvin Acosta 542618
Amin Acosta 570143
Aneudy Acosta 667317
Anthony Acosta 445236
Armando Acosta 683036
Bennys Acosta 472523
Christian Acosta 464394
Christopher Acosta 659261
Cristian Acosta 679654
Cy Acosta 110037
Daison Acosta 670897
Daniel Acosta 667319
Ed Acosta 110038
Ed Acosta 439636
Edgar Acosta 680028
Eduar Acosta 504092
Elian Acosta 672370
Emilio Acosta 465449
Enmanuel Acosta 691081
Enyor Acosta 667318
Fernando Acosta 465019
Francisco Acosta 538162
Francisco Acosta 501226
Francisco Acosta 472222
Geovanny Acosta 656118
Gilberto Acosta 466894
Hardlen Acosta 668915
Hardlen Acosta 669785
Hector Acosta 672633
Horacio Acosta 667787
Jasiel Acosta 466969
Jeisel Acosta 682704
Jesse Acosta 458235
Jhon Acosta 471563
Johe Acosta 472408
Jorge Acosta 461733
Jorge Acosta 660543
Jorge Acosta 472549
José Acosta 110039
