Name Team G PA HR R RBI SB BB_Pct K_Pct ISO BABIP AVG OBP SLG wOBA wRC EV BsR Off Def WAR playerid
"Jose Ramirez" Indians 58 254 17 45 46 10 12.2 16.9 0.315 0.294 0.292 0.386 0.607 0.415 164 88.7 1.9 21.9 1.7 3.4 13510
"Freddie Freeman" Braves 60 262 13 51 53 2 17.2 14.1 0.299 0.366 0.341 0.462 0.64 0.456 187 92.4 -0.3 28.7 -1.3 3.3 5361
"Mookie Betts" Dodgers 55 246 16 47 39 10 9.8 15.4 0.269 0.289 0.292 0.366 0.562 0.39 149 90.7 3.3 18.6 3.1 3 13611
"Fernando Tatis Jr." Padres 59 257 17 50 45 11 10.5 23.7 0.295 0.306 0.277 0.366 0.571 0.392 149 95.9 1.4 17.5 3.1 2.9 19709
"Trea Turner" Nationals 59 259 12 46 41 12 8.5 13.9 0.253 0.353 0.335 0.394 0.588 0.413 158 90.5 2.4 21.6 -0.5 2.7 16252
"Anthony Rendon" Angels 52 232 9 29 31 0 16.4 13.4 0.212 0.302 0.286 0.418 0.497 0.395 154 90.1 0 15.4 3.7 2.7 12861
"Mike Yastrzemski" Giants 54 225 10 39 35 2 13.3 24.4 0.271 0.37 0.297 0.4 0.568 0.407 159 88.2 0.8 17.7 1.2 2.6 14854
"Jose Abreu" "White Sox" 60 262 19 43 60 0 6.9 22.5 0.3 0.35 0.317 0.37 0.617 0.411 166 92.9 -1 20.2 -5.4 2.6 15676
"Manny Machado" Padres 60 254 16 44 47 6 10.2 14.6 0.277 0.297 0.304 0.37 0.58 0.391 149 90.2 -1.7 14.1 3.2 2.6 11493
"Marcell Ozuna" Braves 60 267 18 38 56 0 14.2 22.5 0.298 0.391 0.338 0.431 0.636 0.444 179 93 -0.2 26.7 -7.8 2.5 10324
"Mike Trout" Angels 53 241 17 41 46 1 14.5 23.2 0.322 0.3 0.281 0.39 0.603 0.407 162 93.7 1.3 19.7 -2.4 2.5 10155
"DJ LeMahieu" Yankees 50 216 10 41 27 3 8.3 9.7 0.226 0.37 0.364 0.421 0.59 0.429 176 91.3 0.7 21 -1.2 2.5 9874
"Trevor Story" Rockies 59 259 11 41 28 15 9.3 24.3 0.23 0.354 0.289 0.355 0.519 0.37 117 89.9 4 9.7 6.3 2.4 12564
"Juan Soto" Nationals 47 196 13 39 37 6 20.9 14.3 0.344 0.363 0.351 0.49 0.695 0.478 201 92.3 -0.5 24.8 -4.9 2.4 20123
"Ronald Acuna Jr." Braves 46 202 14 46 29 8 18.8 29.7 0.331 0.302 0.25 0.406 0.581 0.413 158 92.4 2.2 17.3 2 2.4 18401
"Brandon Lowe" Rays 56 224 14 36 37 3 11.2 25.9 0.285 0.309 0.269 0.362 0.554 0.385 150 89.8 2.9 16.8 1.4 2.4 18882
"Trent Grisham" Padres 59 252 10 42 26 10 12.3 25.4 0.205 0.31 0.251 0.352 0.456 0.349 121 88.3 -0.2 6.5 8.3 2.3 18564
"Paul Goldschmidt" Cardinals 58 231 6 31 21 1 16 18.6 0.162 0.364 0.304 0.417 0.466 0.387 146 89.2 1.1 14.6 -2.9 2.1 9218
"Tim Anderson" "White Sox" 49 221 10 45 21 5 4.5 22.6 0.207 0.383 0.322 0.357 0.529 0.376 142 87.2 0.8 12.2 -0.1 2.1 15172
"Michael Conforto" Mets 54 233 9 40 31 3 10.3 24.5 0.193 0.412 0.322 0.412 0.515 0.401 157 88.4 -0.2 16.7 -2.3 2 16376
"Nelson Cruz" Twins 53 214 16 33 33 0 11.7 27.1 0.292 0.36 0.303 0.397 0.595 0.411 164 91.6 -0.7 16.1 -5.6 2 2434
"Cesar Hernandez" Indians 58 261 3 35 20 0 9.2 21.8 0.124 0.364 0.283 0.355 0.408 0.335 110 89.1 0.4 3.5 4.7 1.9 10556
"George Springer" Astros 51 222 14 37 32 1 10.8 17.1 0.275 0.259 0.265 0.359 0.54 0.379 146 88.7 1.3 14.1 -2.2 1.9 12856
"Ian Happ" Cubs 57 231 12 27 28 1 13 27.3 0.247 0.317 0.258 0.361 0.505 0.369 132 91.1 0.2 9.5 -0.3 1.9 17919
"Xander Bogaerts" "Red Sox" 56 225 11 36 28 8 9.3 18.2 0.202 0.329 0.3 0.364 0.502 0.368 130 89 2.7 11.1 2.4 1.9 12161
"Wil Myers" Padres 55 218 15 34 40 2 8.3 25.7 0.318 0.331 0.288 0.353 0.606 0.4 154 91 1.4 16.5 -4.7 1.9 10047
"Dansby Swanson" Braves 60 264 10 49 35 5 8.3 26.9 0.19 0.35 0.274 0.345 0.464 0.348 116 89 4.2 9.5 2.8 1.9 18314
"Corey Seager" Dodgers 52 232 15 38 41 1 7.3 15.9 0.278 0.309 0.307 0.358 0.585 0.394 152 93.2 -1.8 13.5 -2.5 1.9 13624
"Kole Calhoun" Diamondbacks 54 228 16 35 40 1 12.3 21.9 0.3 0.211 0.226 0.338 0.526 0.362 125 89.4 0.5 7.9 2.6 1.8 11200
"Dominic Smith" Mets 50 199 10 27 42 0 7 22.6 0.299 0.368 0.316 0.377 0.616 0.412 164 89.8 0.6 16.9 -3.8 1.8 15653
"Luke Voit" Yankees 56 234 22 41 52 0 7.3 23.1 0.333 0.268 0.277 0.338 0.61 0.393 152 88.9 0.1 15.2 -3.2 1.8 14811
"Francisco Lindor" Indians 60 266 8 30 27 6 9 15.4 0.157 0.28 0.258 0.335 0.415 0.324 102 89.9 -2.5 -1.9 8.2 1.8 12916
"Mark Canha" Athletics 59 243 5 32 33 4 15.2 22.2 0.162 0.307 0.246 0.387 0.408 0.351 128 89.7 2.2 10.5 -1 1.8 11445
"J.T. Realmuto" Phillies 47 195 11 33 32 4 8.2 24.6 0.225 0.307 0.266 0.349 0.491 0.361 125 90.9 2 8.3 4.2 1.7 11739
"Yasmani Grandal" "White Sox" 46 194 8 27 27 0 15.5 29.9 0.193 0.299 0.23 0.351 0.422 0.338 116 90.3 -2.4 1.4 7 1.7 11368
"Kyle Lewis" Mariners 58 242 11 37 28 5 14 29.3 0.175 0.341 0.262 0.364 0.437 0.349 126 88.3 1.7 9.4 -1 1.6 19508
"Eloy Jimenez" "White Sox" 55 226 14 26 41 0 5.3 24.8 0.263 0.34 0.296 0.332 0.559 0.373 140 92.4 0.5 11.5 -4.7 1.6 17484
"Bryce Harper" Phillies 58 244 13 41 33 8 20.1 17.6 0.274 0.279 0.268 0.42 0.542 0.4 151 92.3 -0.6 15.4 -5.1 1.6 11579
"Willson Contreras" Cubs 57 225 7 37 26 1 8.9 25.3 0.164 0.307 0.243 0.356 0.407 0.336 110 89.8 -0.8 2.1 4.6 1.6 11609
"Yoan Moncada" "White Sox" 52 231 6 28 24 0 12.1 31.2 0.16 0.315 0.225 0.32 0.385 0.309 96 87.8 3 1.9 4.3 1.6 17232
"Alex Verdugo" "Red Sox" 53 221 6 36 15 4 7.7 20.4 0.169 0.371 0.308 0.367 0.478 0.362 126 87 1.1 8.3 2.3 1.6 17027
"Kyle Tucker" Astros 58 228 9 33 42 8 7.9 20.2 0.244 0.303 0.268 0.325 0.512 0.349 126 91.1 3.2 10.4 -2.5 1.5 18345
"David Fletcher" Angels 49 230 3 31 18 2 8.7 10.9 0.106 0.348 0.319 0.376 0.425 0.35 123 84.7 -0.7 5.9 1.9 1.5 17992
"Teoscar Hernandez" "Blue Jays" 50 207 16 33 34 6 6.8 30.4 0.289 0.348 0.289 0.34 0.579 0.384 143 93.3 1 12 -1.6 1.5 13066
"Jeimer Candelario" Tigers 52 206 7 30 29 1 9.7 23.8 0.205 0.372 0.297 0.369 0.503 0.373 136 90.2 0.8 10 -3.5 1.5 13621
"Kyle Seager" Mariners 60 248 9 35 40 5 12.9 13.3 0.192 0.24 0.241 0.355 0.433 0.338 118 89.1 1.7 7.2 -0.3 1.5 9785
"Brandon Nimmo" Mets 55 225 8 33 18 1 14.7 19.1 0.204 0.326 0.28 0.404 0.484 0.387 148 87.2 0 13.7 -4 1.5 12927
"Luis Robert" "White Sox" 56 227 11 33 31 9 8.8 32.2 0.203 0.3 0.233 0.302 0.436 0.316 101 87.9 1.7 1.8 3.4 1.5 20043
"Willy Adames" Rays 54 205 8 29 23 2 9.8 36.1 0.222 0.388 0.259 0.332 0.481 0.347 124 88.8 2 8.2 1.4 1.5 15986
"Chris Taylor" Dodgers 56 214 8 30 32 3 12.1 25.7 0.205 0.344 0.27 0.366 0.476 0.364 132 88 -0.9 7.8 -0.4 1.5 13757
"Jackie Bradley Jr." "Red Sox" 55 217 7 32 22 5 10.6 22.1 0.168 0.343 0.283 0.364 0.45 0.352 120 88.3 1.3 6.6 2.6 1.5 12984
"Jake Cronenworth" Padres 54 192 4 26 20 3 9.4 15.6 0.192 0.324 0.285 0.354 0.477 0.356 125 89.8 -1 5.2 2.7 1.4 18036
"Didi Gregorius" Phillies 60 237 10 34 40 3 6.3 11.8 0.205 0.285 0.284 0.339 0.488 0.348 117 83.7 0.4 5.4 2.8 1.4 6012
"Adalberto Mondesi" Royals 59 233 6 33 22 24 4.7 30 0.16 0.35 0.256 0.294 0.416 0.305 89 90.6 3.6 0.5 3.4 1.4 13769
"Christian Vazquez" "Red Sox" 47 189 7 22 23 4 8.5 22.8 0.173 0.341 0.283 0.344 0.457 0.346 115 88.4 -2.7 0.8 8.3 1.4 9774
"Cavan Biggio" "Blue Jays" 59 265 8 41 28 6 15.5 23 0.182 0.311 0.25 0.375 0.432 0.355 124 87.4 0.8 8.5 -1.5 1.4 19252
"Whit Merrifield" Royals 60 265 9 38 30 12 4.5 12.5 0.157 0.295 0.282 0.325 0.44 0.329 106 86.1 0 2 0 1.3 11281
"Kolten Wong" Cardinals 53 208 1 26 16 5 9.6 14.4 0.061 0.311 0.265 0.35 0.326 0.305 92 86.5 2.2 0 4.5 1.3 12532
