"Season" "wOBA" "wOBAScale" "wBB" "wHBP" "w1B" "w2B" "w3B" "wHR" "runSB" "runCS" "R/PA" "R/W" "cFIP"
"1" 2021 0.314 1.209 0.692 0.722 0.879 1.242 1.568 2.007 0.2 -0.419 0.121 9.973 3.17
"2" 2020 0.32 1.185 0.699 0.728 0.883 1.238 1.558 1.979 0.2 -0.435 0.126 10.282 3.191
"3" 2019 0.32 1.157 0.69 0.719 0.87 1.217 1.529 1.94 0.2 -0.435 0.126 10.296 3.214
"4" 2018 0.315 1.226 0.69 0.72 0.88 1.247 1.578 2.031 0.2 -0.407 0.117 9.714 3.161
"5" 2017 0.321 1.185 0.693 0.723 0.877 1.232 1.552 1.98 0.2 -0.423 0.122 10.048 3.158
"6" 2016 0.318 1.212 0.691 0.721 0.878 1.242 1.569 2.015 0.2 -0.41 0.118 9.778 3.147
"7" 2015 0.313 1.251 0.687 0.718 0.881 1.256 1.594 2.065 0.2 -0.392 0.112 9.421 3.134
"8" 2014 0.31 1.304 0.689 0.722 0.892 1.283 1.635 2.135 0.2 -0.377 0.107 9.117 3.132
"9" 2013 0.314 1.277 0.69 0.722 0.888 1.271 1.616 2.101 0.2 -0.384 0.11 9.264 3.048
"10" 2012 0.315 1.245 0.691 0.722 0.884 1.257 1.593 2.058 0.2 -0.398 0.114 9.544 3.095
"11" 2011 0.316 1.264 0.694 0.726 0.89 1.27 1.611 2.086 0.2 -0.394 0.112 9.454 3.025
"12" 2010 0.321 1.251 0.701 0.732 0.895 1.27 1.608 2.072 0.2 -0.403 0.115 9.643 3.079
"13" 2009 0.329 1.21 0.707 0.737 0.895 1.258 1.585 2.023 0.2 -0.42 0.12 9.994 3.097
"14" 2008 0.328 1.211 0.708 0.739 0.896 1.259 1.587 2.024 0.2 -0.422 0.12 10.032 3.132
"15" 2007 0.331 1.192 0.711 0.741 0.896 1.253 1.575 1.999 0.2 -0.433 0.124 10.25 3.24
"16" 2006 0.332 1.17 0.708 0.737 0.89 1.241 1.557 1.97 0.2 -0.439 0.125 10.365 3.147
"17" 2005 0.326 1.208 0.703 0.733 0.89 1.252 1.578 2.017 0.2 -0.419 0.12 9.971 3.02
"18" 2004 0.33 1.18 0.707 0.737 0.89 1.244 1.563 1.983 0.2 -0.434 0.124 10.272 3.049
"19" 2003 0.328 1.194 0.706 0.736 0.891 1.249 1.572 2 0.2 -0.428 0.123 10.158 3.031
"20" 2002 0.326 1.211 0.704 0.735 0.892 1.255 1.582 2.021 0.2 -0.42 0.12 9.991 2.962
"21" 2001 0.327 1.182 0.704 0.733 0.887 1.242 1.561 1.982 0.2 -0.432 0.124 10.235 3.049
