"batter" "launch_angle" "launch_speed" "events" "estimated_ba_using_speedangle" "estimated_woba_using_speedangle"
"1" 572233 65 82.8 "field_out" 0.006 0.005
"2" 622110 -42 63.9 "single" 0.14 0.126
"3" 614177 9 95.9 "single" 0.643 0.598
"4" 621566 6 113 "field_out" 0.72 0.687
"5" 571657 32 69.7 "single" 0.783 0.783
"6" 575929 64 92.4 "field_out" 0.009 0.009
"7" 592669 34 55.7 "field_out" 0.369 0.332
"8" 608070 22 92.7 "field_out" 0.194 0.224
"9" 519058 -12 99 "single" 0.223 0.201
"10" 592696 25 96.2 "field_out" 0.26 0.366
"11" 660636 7 82.5 "field_out" 0.38 0.361
"12" 642133 15 80.5 "single" 0.771 0.726
"13" 662139 -40 103.7 "field_out" 0.1 0.09
"14" 543685 -4 81.2 "grounded_into_double_play" 0.154 0.15
"15" 642708 11 106.5 "single" 0.897 0.933
"16" 668804 27 91.9 "field_out" 0.129 0.165
"17" 669222 0 81.3 "field_out" 0.203 0.201
"18" 542364 39 80.5 "field_out" 0.023 0.021
"19" 596129 42 81.5 "field_out" 0.031 0.04
"20" 457705 17 105 "field_out" 0.517 0.603
"21" 455117 -2 95.4 "field_out" 0.311 0.296
"22" 672695 -29 82.5 "field_out" 0.043 0.039
"23" 664702 35 83 "field_out" 0.026 0.039
"24" 543105 21 100.1 "field_out" 0.377 0.492
"25" 660829 -29 51.7 "single" 0.126 0.133
"26" 676801 20 102.5 "double" 0.509 0.657
"27" 663538 19 105.3 "home_run" 0.549 0.686
"28" 663886 33 99.9 "field_out" 0.406 0.802
"29" 670032 25 97.7 "double" 0.434 0.655
"30" 458015 73 67.6 "field_out" 0.006 0.007
"31" 665926 6 69.7 "field_out" 0.163 0.147
"32" 643446 -1 94.7 "single" 0.357 0.356
"33" 545361 -18 93.9 "field_error" 0.134 0.123
"34" 572191 61 76.4 "field_out" 0.026 0.023
"35" 642715 -4 94.6 "grounded_into_double_play" 0.294 0.286
"36" 656403 54 85.6 "field_out" 0.011 0.01
"37" 621550 43 94 "sac_fly" 0.009 0.008
"38" 543939 19 91.3 "single" 0.46 0.456
"39" 502054 28 91.7 "field_out" 0.123 0.173
"40" 518792 11 96.9 "single" 0.837 0.817
"41" 664056 -4 76.8 "force_out" 0.109 0.098
"42" 547379 -17 66.2 "field_out" 0.04 0.036
"43" 660271 70 90.9 "field_out" 0.014 0.017
"44" 595978 9 65 "force_out" 0.226 0.205
"45" 592325 23 101.9 "field_out" 0.651 1.012
"46" 607054 22 97 "field_out" 0.231 0.271
"47" 456715 8 52.8 "field_out" 0.143 0.129
"48" 664058 11 72.4 "field_out" 0.294 0.265
"49" 425877 31 74.7 "field_out" 0.369 0.348
"50" 673548 12 82.9 "single" 0.623 0.574
"51" 663697 -29 60.2 "field_out" 0.04 0.036
"52" 657557 54 98 "field_out" 0.011 0.015
"53" 429664 -33 48 "single" 0.166 0.169
"54" 643524 -34 62.8 "field_out" 0.06 0.054
"55" 657061 -73 64.3 "field_out" 0.22 0.198
"56" 596748 70 88.2 "field_out" 0.006 0.005
"57" 666179 48 88.7 "field_out" 0.006 0.005
"58" 641531 41 106.6 "field_error" 0.386 0.782
"59" 500871 19 101.6 "double" 0.451 0.575
"60" 592273 34 54.1 "single" 0.334 0.301
"61" 621028 7 77.3 "grounded_into_double_play" 0.343 0.359
"62" 608348 -8 88.2 "force_out" 0.129 0.116
"63" 660294 -9 90.6 "single" 0.163 0.147
"64" 467793 51 89.6 "field_out" 0.017 0.02
"65" 644374 29 103.8 "field_out" 0.791 1.6
"66" 521692 29 102.2 "field_out" 0.631 1.208
"67" 571657 -20 93 "field_out" 0.103 0.093
"68" 592669 7 81.6 "single" 0.38 0.361
"69" 405395 -7 97 "field_error" 0.251 0.236
"70" 645277 27 80.4 "single" 0.231 0.212
"71" 660688 30 102.5 "field_out" 0.697 1.399
"72" 664023 -15 97.7 "field_out" 0.177 0.159
"73" 545358 -49 77.8 "field_out" 0.146 0.131
"74" 670541 40 100.5 "field_out" 0.171 0.324
"75" 571448 38 102.1 "field_out" 0.323 0.629
"76" 656252 -46 70 "field_out" 0.171 0.16
"77" 624413 15 89.9 "single" 0.94 0.911
"78" 668804 22 84.3 "single" 0.471 0.458
"79" 643217 28 92 "field_out" 0.123 0.173
"80" 608324 12 91.2 "single" 0.84 0.811
"81" 605137 15 58.6 "field_out" 0.28 0.252
"82" 641933 30 104.6 "home_run" 0.794 1.616
"83" 542303 6 104.5 "field_out" 0.6 0.567
"84" 572233 40 86.7 "field_out" 0.014 0.019
"85" 669222 7 89.5 "grounded_into_double_play" 0.469 0.434
"86" 444482 56 82.2 "field_out" 0.037 0.039
"87" 608070 14 89.3 "double" 0.96 0.923
"88" 457705 12 96.9 "single" 0.894 0.861
"89" 521692 71 94.3 "field_out" 0.023 0.029
"90" 605204 8 100.3 "field_out" 0.671 0.622
"91" 592885 -3 105.7 "field_out" 0.403 0.363
"92" 663886 16 97.7 "sac_fly" 0.646 0.677
"93" 443558 -14 107.3 "force_out" 0.231 0.208
"94" 677951 -21 72.2 "field_out" 0.043 0.039
"95" 488726 21 105.3 "double" 0.729 1.102
"96" 606466 -8 97.1 "field_out" 0.229 0.206
"97" 458015 10 104.2 "single" 0.826 0.807
"98" 663586 -7 98.1 "single" 0.26 0.24
"99" 660829 -26 48.6 "force_out" 0.134 0.134
"100" 643217 -2 103 "single" 0.36 0.328
"101" 543592 -20 82.5 "field_out" 0.049 0.044
"102" 593160 18 78.4 "single" 0.931 0.883
"103" 516782 28 82 "field_out" 0.143 0.159
"104" 662139 32 98.9 "field_out" 0.366 0.708
"105" 642708 8 106.7 "field_out" 0.689 0.655
"106" 663611 -12 90.5 "field_out" 0.129 0.116
"107" 425877 -10 87.4 "grounded_into_double_play" 0.149 0.143
"108" 543510 8 66.2 "field_out" 0.206 0.187
"109" 622110 -29 92.6 "field_out" 0.103 0.109
"110" 677951 26 90.3 "double" 0.154 0.216
"111" 543685 -35 66.3 "field_out" 0.063 0.057
"112" 663757 35 95.4 "field_out" 0.091 0.15
"113" 657557 -15 88.6 "force_out" 0.12 0.112
"114" 669242 -56 75.4 "field_out" 0.229 0.206
"115" 514917 -59 77.9 "single" 0.24 0.218
"116" 547379 10 107.2 "single" 0.837 0.84
"117" 640449 16 94.9 "double" 0.666 0.675
"118" 664702 7 90.9 "single" 0.509 0.475
"119" 606157 21 67.1 "single" 0.771 0.702
"120" 645302 -20 25 "sac_bunt" 0.286 0.3
"121" 405395 -6 93.2 "fielders_choice" 0.217 0.205
"122" 572191 19 103.7 "field_out" 0.526 0.679
"123" 656403 -32 95.6 "field_out" 0.12 0.123
"124" 663697 27 65.2 "single" 0.846 0.774
"125" 670032 -40 36.1 "sac_bunt" 0.251 0.247
"126" 663538 -26 93.8 "field_out" 0.083 0.075
"127" 444876 15 85.6 "single" 0.951 0.903
"128" 621550 49 92.8 "field_out" 0.003 0.003
"129" 664056 -53 75 "single" 0.209 0.191
"130" 518792 -67 65.4 "force_out" 0.246 0.221
"131" 665926 -15 91.2 "field_out" 0.16 0.168
"132" 596748 -25 103.2 "grounded_into_double_play" 0.14 0.127
"133" 592273 39 89.2 "field_out" 0.02 0.032
"134" 664058 -62 73.8 "field_out" 0.266 0.248
"135" 669016 23 93.1 "field_out" 0.177 0.218
"136" 657041 -8 91.1 "field_error" 0.169 0.154
"137" 429664 -41 51.6 "field_out" 0.151 0.136
"138" 665926 73 78.7 "field_out" 0.009 0.009
"139" 660688 29 94.7 "double" 0.177 0.298
"140" 571657 19 100.8 "single" 0.38 0.436
"141" 425877 -44 55.3 "field_out" 0.157 0.141
"142" 609275 52 88.4 "field_out" 0.017 0.019
"143" 595978 75 70.9 "field_out" 0.006 0.006
"144" 608348 49 98.5 "field_out" 0.006 0.009
"145" 500871 0 83.2 "field_out" 0.197 0.177
"146" 543105 -14 93.5 "field_out" 0.166 0.149
"147" 643446 13 93.7 "single" 0.937 0.923
"148" 665926 0 103.1 "single" 0.469 0.441
"149" 519058 65 69.1 "field_out" 0.003 0.003
"150" 663656 4 85.8 "field_out" 0.403 0.413
"151" 656976 -9 91.7 "field_out" 0.206 0.213
"152" 543592 -9 93.5 "single" 0.214 0.208
"153" 543333 16 78.7 "double" 0.843 0.802
"154" 545358 -2 96.7 "force_out" 0.317 0.291
"155" 621028 15 98.2 "single" 0.76 0.749
"156" 518595 35 99.6 "field_out" 0.331 0.647
"157" 518792 -11 103 "field_out" 0.26 0.234
"158" 543939 -8 99.1 "force_out" 0.286 0.283
"159" 665120 18 95.8 "field_out" 0.437 0.471
"160" 641531 -85 36.6 "force_out" 0.146 0.131
"161" 467793 67 79.5 "field_out" 0.009 0.01
"162" 663757 11 107.8 "single" 0.903 0.929
"163" 595978 30 79.7 "field_out" 0.1 0.09
"164" 669222 8 98.2 "single" 0.634 0.583
"165" 680757 1 97 "field_out" 0.426 0.4
"166" 518792 71 83.2 "single" 0.009 0.009
"167" 595978 32 83.5 "field_out" 0.034 0.038
"168" 571976 -18 88.3 "grounded_into_double_play" 0.106 0.101
"169" 624413 14 51.2 "grounded_into_double_play" 0.194 0.175
"170" 624413 48 72.4 "field_out" 0.171 0.182
"171" 643524 49 82.6 "field_out" 0.014 0.016
"172" 571448 20 89.5 "field_out" 0.417 0.418
"173" 456715 36 94 "sac_fly" 0.083 0.139
"174" 605137 37 84.6 "field_out" 0.011 0.013
"175" 405395 33 84.2 "field_out" 0.026 0.032
"176" 660294 15 97.8 "field_out" 0.76 0.749
"177" 606466 -22 75.7 "field_out" 0.031 0.028
"178" 493329 64 81.5 "field_out" 0.009 0.008
"179" 644374 44 99.2 "field_out" 0.031 0.05
"180" 592192 7 104.4 "single" 0.614 0.553
"181" 444876 35 64.5 "field_out" 0.669 0.606
"182" 518595 -9 91.5 "force_out" 0.206 0.213
"183" 664023 39 95.4 "double" 0.057 0.09
"184" 680757 6 93.5 "single" 0.471 0.436
"185" 572233 22 97.4 "field_out" 0.231 0.271
"186" 405395 14 106.1 "field_out" 0.7 0.752
"187" 663757 30 98.3 "field_out" 0.349 0.621
"188" 665161 25 79.5 "field_out" 0.483 0.451
"189" 670541 -31 94.3 "field_out" 0.097 0.087
"190" 571976 32 93.6 "field_out" 0.106 0.178
"191" 572228 -22 59.6 "grounded_into_double_play" 0.057 0.058
"192" 657041 -19 98.8 "force_out" 0.117 0.105
"193" 656308 49 97.2 "field_out" 0.006 0.011
"194" 596019 19 95.5 "single" 0.349 0.367
"195" 645277 3 89.5 "field_out" 0.323 0.291
"196" 571448 22 104.8 "home_run" 0.789 1.269
"197" 488726 6 48.5 "field_out" 0.149 0.134
"198" 592696 17 93.6 "field_out" 0.583 0.575
"199" 542303 66 96.2 "field_out" 0.023 0.031
"200" 660688 10 105.3 "single" 0.82 0.807
"201" 457705 -6 103.9 "field_out" 0.354 0.331
"202" 643524 41 80.6 "field_out" 0.034 0.046
"203" 664058 14 95.3 "triple" 0.914 0.901
"204" 425877 65 81 "field_out" 0.006 0.005
"205" 641933 43 86.8 "sac_fly" 0.011 0.015
"206" 622110 -10 85.4 "single" 0.134 0.125
"207" 605137 4 77.3 "single" 0.231 0.216
"208" 605170 13 104.2 "double" 0.84 0.865
"209" 645277 -31 78.4 "force_out" 0.057 0.057
"210" 575929 32 99.5 "field_out" 0.366 0.708
"211" 673490 36 98.8 "field_out" 0.251 0.509
"212" 516782 -30 77.3 "force_out" 0.054 0.053
"213" 605204 21 106.6 "double" 0.823 1.353
"214" 663697 64 62.4 "field_out" 0.003 0.003
"215" 521692 53 90.1 "field_out" 0.02 0.025
"216" 642708 19 63.1 "field_out" 0.474 0.427
"217" 630105 -17 89.3 "field_out" 0.111 0.107
"218" 673490 -15 69.8 "force_out" 0.06 0.06
"219" 521692 63 96.1 "field_out" 0.017 0.022
"220" 663586 32 107.6 "home_run" 0.889 1.856
