pitcher balls strikes plate_x plate_z pitch_type stand
669456 1 2 0.8285 2.1272 SL R
669456 1 1 0.1747 1.3524 SL R
669456 0 1 1.7267 1.1699 FF R
669456 0 0 1.2685 0.6448 SL R
669456 0 0 0.1445 3.1247 FF L
669456 0 1 -0.3379 1.9681 CH L
669456 0 0 0.0126 2.0832 FF L
669456 0 0 0.62 2.4233 FF R
669456 0 0 -1.9659 3.7823 FF R
608337 3 2 0.338 2.9383 FF L
608337 3 2 1.0383 2.3666 FF L
608337 3 1 0.3706 2.3378 FF L
608337 2 1 0.548 4.3804 FF L
608337 1 1 0.3425 4.4304 FF L
608337 0 1 1.2099 2.7461 FF L
608337 0 0 -0.0549 3.3899 FF L
608337 1 0 0.4141 2.5637 CH L
608337 0 0 1.1602 1.6176 FF L
608337 0 2 0.8569 1.5701 SL R
608337 0 1 0.4042 1.3463 SL R
608337 0 0 0.7023 1.9446 FF R
608337 2 2 -0.7504 2.2294 CU L
608337 2 2 0.6054 3.5647 FF L
608337 2 2 0.337 3.5925 FF L
458681 1 1 -0.2419 3.1064 FF L
458681 0 1 -0.8147 1.3107 CH L
608337 2 2 -0.1394 1.6791 CU L
608337 2 1 -0.287 1.7654 CH L
458681 0 0 -0.1179 2.6313 FC L
608337 1 1 0.064 4.1392 CU L
458681 2 2 1.3069 1.9479 FC L
458681 2 2 0.785 2.9274 FF L
608337 1 0 0.0811 2.2021 FF L
608337 0 0 0.851 3.0017 FF L
458681 1 2 0.6344 -0.2512 CU L
608337 0 0 0.6103 1.9153 CU L
458681 1 1 0.8466 1.4921 FC L
669456 0 0 -0.7584 2.3376 SL R
458681 0 1 0.1503 3.85 FF L
458681 0 0 0.7934 2.338 FF L
669456 1 2 -1.1361 2.9906 FF R
669456 1 1 0.2314 2.2218 FF R
458681 0 0 0.4047 2.1479 FC R
458681 0 0 -0.9022 2.9275 FT L
669456 0 1 2.0129 -1.704 KC R
669456 0 0 0.1505 2.0647 FF R
458681 2 0 -0.7118 2.5444 FT L
458681 1 0 -0.8664 3.9505 FT L
669456 1 1 -1.0768 2.8389 FF L
458681 0 0 -0.0995 0.7588 CU L
669456 1 0 0.6593 1.4507 FF L
571578 0 1 -0.6459 1.3992 FF R
669456 0 0 -0.2806 0.6434 FF L
571578 0 0 -0.8362 0.5174 SL R
571578 3 2 0.0798 1.7435 FT R
571578 2 2 0.2633 1.0801 CH R
571578 2 2 -0.4744 1.3832 FT R
571578 1 2 0.6181 0.4979 CH R
645261 3 2 -0.9711 3.0445 FF R
645261 3 2 -0.2205 3.2034 FF R
571578 1 1 0.2809 0.8048 CH R
571578 0 1 -0.6264 0.5575 SL R
645261 3 2 -0.4617 2.6652 SI R
571578 0 0 -1.0972 1.7875 FT R
645261 3 1 -1.0588 2.816 FF R
571578 1 1 -0.1121 2.8338 FF R
645261 3 0 -0.8593 3.3316 FF R
571578 1 0 -0.4397 3.083 FF R
645261 2 0 -0.0114 1.0223 FF R
645261 1 0 -1.136 2.6343 CU R
571578 0 0 -0.9365 2.6605 FF R
571578 3 2 -0.7326 2.2953 SL L
645261 0 0 -1.4375 2.8827 SL R
645261 2 2 -1.4881 2.4835 CU L
571578 2 2 -1.6698 1.989 SL L
645261 1 2 -0.0338 3.862 FF L
571578 1 2 -1.1152 1.3085 SL L
645261 1 2 -1.2391 1.5631 CH L
571578 1 1 -1.1003 1.4405 SL L
645261 1 1 -0.1093 0.8315 CH L
571578 1 0 -0.1679 2.2914 SL L
608337 1 2 0.6246 2.5349 SL R
645261 0 1 -1.5125 3.152 CH L
608337 1 1 -0.6836 3.183 CU R
458681 2 1 -0.9493 2.6786 CH L
571578 0 0 -1.2035 3.1972 FF L
645261 0 0 -0.199 2.0635 SL L
571578 2 1 -0.5213 2.2555 SL R
608337 0 1 0.1259 3.5397 CU R
458681 1 1 0.8548 1.2248000000000001 FC L
645261 1 0 -0.4113 1.182 CU L
458681 1 0 0.5077 2.5046 FF L
571578 1 1 -0.7285 3.7778 FF R
608337 0 0 0.7645 2.5383 FF R
645261 0 0 -1.1675 1.8734 SI L
571578 1 0 -0.4116 2.0606 FT R
608337 1 2 0.7415 2.9041 FF L
458681 0 0 -0.7266 3.1321 CU L
458681 1 1 0.6868 1.6029 FC R
608337 1 1 -0.1195 1.9503 FF L
571578 0 0 -0.6621 1.3375 FF R
608337 1 0 -0.0665 2.0621 CH L
458681 1 0 -0.9439 3.4155 FF R
458681 0 0 0.9056 1.5246 FC R
608337 0 0 -0.1332 1.3823 FF L
608337 2 1 -0.0093 2.7307 FF R
458681 0 1 -0.9294 2.054 CH L
458681 0 0 0.8539 2.7074 FC L
608337 1 1 1.0612 3.6317 SL R
