Num HR HRyr HRgm Date BatTeam HomeAway DefTeam Pitcher Score Inn Out RoB RBI BOP Pos WPA bWE "Play Description" Player Birthdate Age
1 1 1 1 1954-04-23 MLN @ STL "Vic Raschi" "behind 2-4" "t 6" 1 --- 1 6 9 0.114 30% "Home Run" Aaron 02-05-1934 20.210814510609172
2 2 2 1 1954-04-25 MLN @ STL "Stu Miller" "behind 0-1" "t 5" 0 --- 1 6 9 0.139 50% "Home Run" Aaron 02-05-1934 20.21629021218343
3 3 3 1 1954-05-21 MLN @ CHC "Hal Jeffcoat" "tied 4-4" "t 8" 1 1-- 2 7 7 0.348 85% "Home Run (Deep LF); Logan Scores" Aaron 02-05-1934 20.28747433264887
4 4 4 1 1954-05-22 MLN @ CHC "Warren Hacker" "behind 3-8" "t 7" 0 1-- 2 7 7 0.058 11% "Home Run (Deep LF); Logan Scores" Aaron 02-05-1934 20.290212183436
5 5 5 1 1954-05-25 MLN @ CIN "Herm Wehmeier" "behind 0-1" "t 5" 1 -2- 2 7 7 0.225 61% "Home Run; Adcock Scores" Aaron 02-05-1934 20.2984257357974
6 6 6 1 1954-06-15 MLN @ BRO "Russ Meyer" "tied 0-0" "t 1" 1 1-- 2 3 7 0.163 67% "Home Run (Deep CF); Logan Scores" Aaron 02-05-1934 20.355920602327178
7 7 7 1 1954-06-17 MLN @ BRO "Johnny Podres" "tied 0-0" "t 1" 2 --- 1 3 7 0.098 56% "Home Run (Line Drive to Deep LF)" Aaron 02-05-1934 20.361396303901437
8 8 8 1 1954-06-22 MLN @ NYG "Johnny Antonelli" "behind 0-1" "t 4" 2 --- 1 3 7 0.125 45% "Home Run (Deep RF)" Aaron 02-05-1934 20.3750855578371
9 9 9 1 1954-06-26 MLN @ PHI "Robin Roberts" "behind 0-5" "t 4" 0 --- 1 3 7 0.044 12% "Home Run (LF-CF)" Aaron 02-05-1934 20.386036960985628
10 10 10 1 1954-07-02 MLN NA CIN "Corky Valentine" "behind 2-3" "b 7" 2 1-- 2 3 7 0.467 76% "Home Run; Logan Scores" Aaron 02-05-1934 20.40246406570842
11 11 11 1 1954-07-08 MLN @ CHC "Warren Hacker" "tied 3-3" "t 3" 0 1-- 2 3 7 0.172 71% "Home Run (Deep LF); Logan Scores" Aaron 02-05-1934 20.418891170431213
12 12 12 1 1954-07-29 MLN @ PIT "Johnny Hetki" "tied 3-3" "t 10" 0 --- 1 4 7 0.338 84% "Home Run (Deep LF)" Aaron 02-05-1934 20.476386036960985
13 13 13 1 1954-08-10 MLN @ STL "Vic Raschi" "tied 0-0" "t 1" 2 -2- 2 4 7 0.174 66% "Home Run; Bruton Scores" Aaron 02-05-1934 20.50924024640657
14 14 1 1 1955-04-17 MLN @ CIN "Gerry Staley" "behind 4-5" "t 7" 1 --- 1 2 9 0.192 46% "Home Run (Deep CF)" Aaron 02-05-1934 21.193702943189596
15 15 2 1 1955-04-27 MLN @ NYG "Hoyt Wilhelm" "ahead 8-1" "t 8" 1 --- 1 2 9 0.002 100% "Home Run (Deep LF)" Aaron 02-05-1934 21.22108145106092
16 16 3 1 1955-04-30 MLN @ PHI "Thornton Kipper" "ahead 3-2" "t 9" 1 --- 1 2 9 0.097 92% "Home Run (Deep LF)" Aaron 02-05-1934 21.229295003422312
17 17 4 1 1955-05-07 MLN @ STL "Herb Moford" "ahead 7-1" "t 7" 1 --- 1 4 7 0.009 99% "Home Run" Aaron 02-05-1934 21.248459958932237
18 18 5 1 1955-05-08 MLN @ STL "Harvey Haddix" "tied 0-0" "t 2" 0 --- 1 4 7 0.105 60% "Home Run (Fly Ball to Deep LF)" Aaron 02-05-1934 21.251197809719372
19 19 6 1 1955-05-10 MLN NA PIT "Max Surkont" "behind 2-9" "b 8" 0 12- 3 4 7 NA NA NA Aaron 02-05-1934 21.25667351129363
20 20 7 1 1955-05-12 MLN NA BRO "Carl Erskine" "tied 0-0" "b 2" 0 --- 1 4 7 0.108 66% "Home Run (Fly Ball to Deep CF)" Aaron 02-05-1934 21.2621492128679
21 21 8 1 1955-05-19 MLN NA NYG "Jim Hearn" "tied 0-0" "b 2" 0 --- 1 4 9 0.108 66% "Home Run (Deep RF)" Aaron 02-05-1934 21.281314168377826
22 22 9 1 1955-05-28 MLN @ CHC "Warren Hacker" "behind 1-2" "t 6" 1 --- 1 4 9 0.164 47% "Home Run" Aaron 02-05-1934 21.305954825462013
23 23 10 1 1955-06-07 MLN @ NYG "Johnny Antonelli" "ahead 4-0" "t 2" 2 -2- 2 4 9 0.083 92% "Home Run; Mathews Scores" Aaron 02-05-1934 21.333333333333332
24 24 11 1 1955-06-17 MLN NA NYG "Johnny Antonelli" "tied 0-0" "b 4" 1 --- 1 4 7 0.136 67% "Home Run (Deep LF)" Aaron 02-05-1934 21.360711841204655
25 25 12 1 1955-06-24 MLN NA BRO "Carl Erskine" "ahead 4-1" "b 3" 0 12- 3 4 9 0.074 96% "Home Run (Line Drive to LF-CF); Logan Scores; Mathews Scores" Aaron 02-05-1934 21.37987679671458
26 26 13 1 1955-06-28 MLN NA CHC "Sam Jones" "behind 2-7" "b 8" 1 --- 1 4 9 0.014 3% "Home Run" Aaron 02-05-1934 21.39082819986311
27 27 14 1 1955-06-29 MLN NA CHC "John Andre" "ahead 5-1" "b 4" 2 --3 2 4 9 0.052 97% "Home Run (Deep LF); Bruton Scores" Aaron 02-05-1934 21.39356605065024
28 28 15 2 1955-06-29 MLN NA CHC "John Andre" "ahead 9-1" "b 6" 0 --- 1 4 9 0.002 100% "Home Run (Deep LF)" Aaron 02-05-1934 21.39356605065024
29 29 16 1 1955-07-02 MLN @ CIN "Jackie Collum" "behind 3-10" "t 8" 1 1-- 2 4 9 0.007 1% "Home Run (Deep CF); Logan Scores" Aaron 02-05-1934 21.401779603011637
30 30 17 1 1955-07-08 MLN NA CIN "Rudy Minarcin" "behind 0-1" "b 1" 2 1-- 2 4 4 0.2 62% "Home Run (Deep CF); Mathews Scores" Aaron 02-05-1934 21.418206707734427
31 31 18 1 1955-07-14 MLN @ PHI "Bob Miller" "ahead 4-0" "t 6" 0 --- 1 4 4 0.034 96% "Home Run" Aaron 02-05-1934 21.43463381245722
32 32 19 1 1955-07-16 MLN @ NYG "Sal Maglie" "behind 2-5" "t 8" 0 1-- 2 4 4 0.142 26% "Home Run; Mathews Scores" Aaron 02-05-1934 21.440109514031484
33 33 20 1 1955-07-21 MLN @ PIT "Lino Donoso" "tied 0-0" "t 2" 0 --- 1 4 4 0.106 61% "Home Run (Deep RF)" Aaron 02-05-1934 21.453798767967147
34 34 21 1 1955-07-22 MLN @ BRO "Roger Craig" "behind 2-3" "t 6" 1 --- 1 4 4 0.16 47% "Home Run (Fly Ball to Deep LF)" Aaron 02-05-1934 21.45653661875428
35 35 22 1 1955-07-24 MLN @ BRO "Ed Roebuck" "ahead 5-2" "t 8" 2 1-- 2 4 7 0.061 98% "Home Run (Fly Ball to LF-CF); Logan Scores" Aaron 02-05-1934 21.462012320328544
36 36 23 1 1955-08-07 MLN NA PIT "Lino Donoso" "ahead 4-3" "b 8" 1 1-- 2 4 4 0.1 97% "Home Run; Mathews Scores" Aaron 02-05-1934 21.50034223134839
37 37 24 1 1955-08-09 MLN NA STL "Larry Jackson" "ahead 1-0" "b 4" 0 --- 1 4 4 NA NA NA Aaron 02-05-1934 21.505817932922657
38 38 25 1 1955-08-19 MLN NA CHC "Warren Hacker" "ahead 2-0" "b 3" 1 1-- 2 4 9 0.121 89% "Home Run (Deep LF); Mathews Scores" Aaron 02-05-1934 21.533196440793976
39 39 26 1 1955-09-04 MLN NA CIN "Johnny Klippstein" "tied 0-0" "b 1" 2 1-- 2 4 9 0.189 71% "Home Run; O'Connell Scores" Aaron 02-05-1934 21.57700205338809
40 40 27 2 1955-09-04 MLN NA CIN "Joe Black" "ahead 4-1" "b 6" 0 --- 1 4 9 0.038 95% "Home Run" Aaron 02-05-1934 21.57700205338809
41 41 1 1 1956-04-17 MLN NA CHC "Bob Rush" "ahead 1-0" "b 6" 2 --- 1 4 9 0.121 84% "Home Run (Deep LF)" Aaron 02-05-1934 22.195756331279945
42 42 2 1 1956-04-22 MLN @ STL "Larry Jackson" "ahead 4-0" "t 3" 0 --- 1 4 9 0.045 92% "Home Run (Deep LF)" Aaron 02-05-1934 22.209445585215605
43 43 3 1 1956-05-07 MLN NA BRO "Ed Roebuck" "ahead 2-0" "b 5" 1 --- 1 4 9 0.076 89% "Home Run (Deep CF)" Aaron 02-05-1934 22.250513347022583
