"Season"	"STATE"	"O_RUNS.ROI"	"N"
"1"	2001	"000 0"	"0"	32124
"2"	2001	"000 0"	"1"	7115
"3"	2001	"000 0"	"2"	3279
"4"	2001	"000 0"	"3"	1505
"5"	2001	"000 0"	"4+"	1284
"6"	2001	"000 1"	"0"	26892
"7"	2001	"000 1"	"1"	3410
"8"	2001	"000 1"	"2"	1336
"9"	2001	"000 1"	"3"	531
"10"	2001	"000 1"	"4+"	363
"11"	2001	"000 2"	"0"	23948
"12"	2001	"000 2"	"1"	1398
"13"	2001	"000 2"	"2"	450
"14"	2001	"000 2"	"3"	138
"15"	2001	"000 2"	"4+"	66
"16"	2001	"001 0"	"0"	80
"17"	2001	"001 0"	"1"	302
"18"	2001	"001 0"	"2"	100
"19"	2001	"001 0"	"3"	50
"20"	2001	"001 0"	"4+"	44
"21"	2001	"001 1"	"0"	710
"22"	2001	"001 1"	"1"	987
"23"	2001	"001 1"	"2"	230
"24"	2001	"001 1"	"3"	88
"25"	2001	"001 1"	"4+"	72
"26"	2001	"001 2"	"0"	2204
"27"	2001	"001 2"	"1"	550
"28"	2001	"001 2"	"2"	148
"29"	2001	"001 2"	"3"	46
"30"	2001	"001 2"	"4+"	27
"31"	2001	"010 0"	"0"	1349
"32"	2001	"010 0"	"1"	1276
"33"	2001	"010 0"	"2"	541
"34"	2001	"010 0"	"3"	266
"35"	2001	"010 0"	"4+"	238
"36"	2001	"010 1"	"0"	3567
"37"	2001	"010 1"	"1"	1366
"38"	2001	"010 1"	"2"	568
"39"	2001	"010 1"	"3"	258
"40"	2001	"010 1"	"4+"	205
"41"	2001	"010 2"	"0"	6029
"42"	2001	"010 2"	"1"	1191
"43"	2001	"010 2"	"2"	372
"44"	2001	"010 2"	"3"	135
"45"	2001	"010 2"	"4+"	88
"46"	2001	"011 0"	"0"	87
"47"	2001	"011 0"	"1"	196
"48"	2001	"011 0"	"2"	188
"49"	2001	"011 0"	"3"	91
"50"	2001	"011 0"	"4+"	109
"51"	2001	"011 1"	"0"	555
"52"	2001	"011 1"	"1"	492
"53"	2001	"011 1"	"2"	397
"54"	2001	"011 1"	"3"	173
"55"	2001	"011 1"	"4+"	155
"56"	2001	"011 2"	"0"	1386
"57"	2001	"011 2"	"1"	120
"58"	2001	"011 2"	"2"	265
"59"	2001	"011 2"	"3"	90
"60"	2001	"011 2"	"4+"	55
"61"	2001	"100 0"	"0"	6382
"62"	2001	"100 0"	"1"	1987
"63"	2001	"100 0"	"2"	1445
"64"	2001	"100 0"	"3"	738
"65"	2001	"100 0"	"4+"	710
"66"	2001	"100 1"	"0"	9463
"67"	2001	"100 1"	"1"	1634
"68"	2001	"100 1"	"2"	1183
"69"	2001	"100 1"	"3"	517
"70"	2001	"100 1"	"4+"	367
"71"	2001	"100 2"	"0"	11318
"72"	2001	"100 2"	"1"	820
"73"	2001	"100 2"	"2"	635
"74"	2001	"100 2"	"3"	206
"75"	2001	"100 2"	"4+"	117
"76"	2001	"101 0"	"0"	152
"77"	2001	"101 0"	"1"	441
"78"	2001	"101 0"	"2"	192
"79"	2001	"101 0"	"3"	152
"80"	2001	"101 0"	"4+"	152
"81"	2001	"101 1"	"0"	772
"82"	2001	"101 1"	"1"	801
