"Outs"	"Bases"	"Mean"	"Season"	"Prob"	"Prob2"
"1"	0	"“000”"	0.45	2014	0.251	0.113
"2"	0	"“003”"	1.37	2014	0.856	0.28
"3"	0	"“020”"	1.07	2014	0.605	0.26
"4"	0	"“023”"	1.88	2014	0.848	0.574
"5"	0	"“100”"	0.82	2014	0.401	0.229
"6"	0	"“103”"	1.78	2014	0.874	0.426
"7"	0	"“120”"	1.38	2014	0.592	0.378
"8"	0	"“123”"	2.35	2014	0.848	0.61
"9"	1	"“000”"	0.23	2014	0.143	0.056
"10"	1	"“003”"	0.94	2014	0.657	0.167
"11"	1	"“020”"	0.62	2014	0.378	0.149
"12"	1	"“023”"	1.35	2014	0.689	0.392
"13"	1	"“100”"	0.48	2014	0.254	0.138
"14"	1	"“103”"	1.1	2014	0.614	0.256
"15"	1	"“120”"	0.83	2014	0.392	0.233
"16"	1	"“123”"	1.5	2014	0.664	0.408
"17"	2	"“000”"	0.09	2014	0.06	0.018
"18"	2	"“003”"	0.34	2014	0.252	0.059
"19"	2	"“020”"	0.31	2014	0.204	0.064
"20"	2	"“023”"	0.5	2014	0.229	0.185
"21"	2	"“100”"	0.2	2014	0.117	0.057
"22"	2	"“103”"	0.41	2014	0.247	0.101
"23"	2	"“120”"	0.39	2014	0.206	0.105
"24"	2	"“123”"	0.64	2014	0.288	0.188
"25"	0	"“000”"	0.47	2015	0.262	0.116
"26"	0	"“003”"	1.4	2015	0.822	0.324
"27"	0	"“020”"	1.11	2015	0.619	0.265
"28"	0	"“023”"	2.04	2015	0.833	0.602
"29"	0	"“100”"	0.85	2015	0.404	0.237
"30"	0	"“103”"	1.72	2015	0.85	0.413
"31"	0	"“120”"	1.48	2015	0.612	0.395
"32"	0	"“123”"	2.32	2015	0.876	0.62
"33"	1	"“000”"	0.25	2015	0.153	0.059
"34"	1	"“003”"	0.96	2015	0.651	0.176
"35"	1	"“020”"	0.66	2015	0.392	0.158
"36"	1	"“023”"	1.36	2015	0.653	0.394
"37"	1	"“100”"	0.5	2015	0.257	0.142
"38"	1	"“103”"	1.12	2015	0.621	0.244
"39"	1	"“120”"	0.88	2015	0.397	0.246
"40"	1	"“123”"	1.59	2015	0.659	0.402
"41"	2	"“000”"	0.1	2015	0.068	0.021
"42"	2	"“003”"	0.36	2015	0.263	0.064
"43"	2	"“020”"	0.3	2015	0.208	0.064
"44"	2	"“023”"	0.56	2015	0.25	0.201
"45"	2	"“100”"	0.22	2015	0.128	0.066
"46"	2	"“103”"	0.45	2015	0.254	0.111
"47"	2	"“120”"	0.43	2015	0.219	0.117
"48"	2	"“123”"	0.78	2015	0.318	0.231
"49"	0	"“000”"	0.5	2016	0.275	0.124
"50"	0	"“003”"	1.35	2016	0.834	0.29
"51"	0	"“020”"	1.13	2016	0.613	0.281
"52"	0	"“023”"	1.93	2016	0.82	0.564
"53"	0	"“100”"	0.86	2016	0.412	0.24
"54"	0	"“103”"	1.72	2016	0.848	0.419
"55"	0	"“120”"	1.44	2016	0.612	0.39
"56"	0	"“123”"	2.11	2016	0.817	0.542
"57"	1	"“000”"	0.27	2016	0.162	0.064
"58"	1	"“003”"	0.94	2016	0.661	0.166
"59"	1	"“020”"	0.67	2016	0.398	0.163
"60"	1	"“023”"	1.36	2016	0.672	0.373
"61"	1	"“100”"	0.51	2016	0.264	0.146
"62"	1	"“103”"	1.2	2016	0.643	0.278
"63"	1	"“120”"	0.92	2016	0.412	0.256
"64"	1	"“123”"	1.54	2016	0.649	0.393
"65"	2	"“000”"	0.11	2016	0.072	0.023
"66"	2	"“003”"	0.37	2016	0.262	0.067
"67"	2	"“020”"	0.31	2016	0.212	0.069
"68"	2	"“023”"	0.55	2016	0.244	0.197
"69"	2	"“100”"	0.22	2016	0.124	0.066
"70"	2	"“103”"	0.48	2016	0.262	0.118
"71"	2	"“120”"	0.41	2016	0.215	0.111
"72"	2	"“123”"	0.7	2016	0.304	0.218
"73"	0	"“000”"	0.52	2017	0.279	0.129
"74"	0	"“003”"	1.41	2017	0.861	0.281
"75"	0	"“020”"	1.17	2017	0.614	0.295
"76"	0	"“023”"	2.06	2017	0.861	0.599
"77"	0	"“100”"	0.91	2017	0.418	0.254
"78"	0	"“103”"	1.83	2017	0.86	0.436
"79"	0	"“120”"	1.51	2017	0.616	0.397
"80"	0	"“123”"	2.24	2017	0.852	0.574
"81"	1	"“000”"	0.27	2017	0.164	0.066
"82"	1	"“003”"	0.98	2017	0.659	0.187
"83"	1	"“020”"	0.72	2017	0.399	0.182
"84"	1	"“023”"	1.49	2017	0.666	0.421
"85"	1	"“100”"	0.52	2017	0.263	0.154
"86"	1	"“103”"	1.21	2017	0.63	0.283
"87"	1	"“120”"	0.95	2017	0.413	0.256
"88"	1	"“123”"	1.64	2017	0.671	0.418
"89"	2	"“000”"	0.11	2017	0.073	0.023
"90"	2	"“003”"	0.38	2017	0.266	0.073
"91"	2	"“020”"	0.33	2017	0.212	0.078
"92"	2	"“023”"	0.57	2017	0.259	0.201
"93"	2	"“100”"	0.23	2017	0.124	0.068
"94"	2	"“103”"	0.5	2017	0.27	0.122
"95"	2	"“120”"	0.45	2017	0.222	0.123
"96"	2	"“123”"	0.8	2017	0.32	0.227
"97"	0	"“000”"	0.49	2018	0.269	0.125
"98"	0	"“003”"	1.43	2018	0.83	0.299
"99"	0	"“020”"	1.13	2018	0.598	0.275
"100"	0	"“023”"	1.94	2018	0.809	0.567
"101"	0	"“100”"	0.87	2018	0.408	0.244
"102"	0	"“103”"	1.79	2018	0.836	0.431
"103"	0	"“120”"	1.42	2018	0.596	0.386
"104"	0	"“123”"	2.35	2018	0.83	0.608
"105"	1	"“000”"	0.26	2018	0.16	0.065
"106"	1	"“003”"	1	2018	0.659	0.189
"107"	1	"“020”"	0.68	2018	0.397	0.163
"108"	1	"“023”"	1.36	2018	0.67	0.383
"109"	1	"“100”"	0.53	2018	0.266	0.158
"110"	1	"“103”"	1.21	2018	0.64	0.287
"111"	1	"“120”"	0.93	2018	0.414	0.262
"112"	1	"“123”"	1.47	2018	0.624	0.383
"113"	2	"“000”"	0.1	2018	0.067	0.021
"114"	2	"“003”"	0.35	2018	0.243	0.072
"115"	2	"“020”"	0.32	2018	0.212	0.07
"116"	2	"“023”"	0.57	2018	0.255	0.199
"117"	2	"“100”"	0.22	2018	0.121	0.068
"118"	2	"“103”"	0.5	2018	0.265	0.129
"119"	2	"“120”"	0.44	2018	0.223	0.12
"120"	2	"“123”"	0.77	2018	0.314	0.22
"121"	0	"“000”"	0.53	2019	0.288	0.136
"122"	0	"“003”"	1.43	2019	0.829	0.311
"123"	0	"“020”"	1.17	2019	0.605	0.288
"124"	0	"“023”"	2.04	2019	0.865	0.599
"125"	0	"“100”"	0.94	2019	0.432	0.272
"126"	0	"“103”"	1.8	2019	0.843	0.434
"127"	0	"“120”"	1.55	2019	0.629	0.42
"128"	0	"“123”"	2.32	2019	0.86	0.611
"129"	1	"“000”"	0.29	2019	0.173	0.07
"130"	1	"“003”"	1	2019	0.648	0.199
"131"	1	"“020”"	0.72	2019	0.408	0.184
"132"	1	"“023”"	1.42	2019	0.683	0.415
"133"	1	"“100”"	0.56	2019	0.276	0.166
"134"	1	"“103”"	1.23	2019	0.64	0.287
"135"	1	"“120”"	1	2019	0.434	0.272
"136"	1	"“123”"	1.63	2019	0.669	0.413
"137"	2	"“000”"	0.11	2019	0.077	0.024
"138"	2	"“003”"	0.38	2019	0.26	0.08
"139"	2	"“020”"	0.33	2019	0.219	0.077
"140"	2	"“023”"	0.6	2019	0.262	0.213
"141"	2	"“100”"	0.24	2019	0.13	0.073
"142"	2	"“103”"	0.54	2019	0.289	0.135
"143"	2	"“120”"	0.46	2019	0.227	0.124
"144"	2	"“123”"	0.77	2019	0.324	0.222
"145"	0	"“000”"	0.57	2000	0.302	0.146
"146"	0	"“003”"	1.51	2000	0.861	0.358
"147"	0	"“020”"	1.18	2000	0.633	0.281
"148"	0	"“023”"	2.04	2000	0.845	0.603
"149"	0	"“100”"	0.97	2000	0.447	0.272
"150"	0	"“103”"	1.9	2000	0.88	0.459
"151"	0	"“120”"	1.62	2000	0.652	0.434
"152"	0	"“123”"	2.54	2000	0.885	0.639
"153"	1	"“000”"	0.31	2000	0.18	0.076
"154"	1	"“003”"	0.99	2000	0.673	0.19
"155"	1	"“020”"	0.73	2000	0.416	0.178
"156"	1	"“023”"	1.5	2000	0.71	0.417
"157"	1	"“100”"	0.6	2000	0.291	0.171
"158"	1	"“103”"	1.22	2000	0.659	0.285
"159"	1	"“120”"	1.01	2000	0.436	0.275
"160"	1	"“123”"	1.7	2000	0.683	0.431
"161"	2	"“000”"	0.12	2000	0.082	0.028
"162"	2	"“003”"	0.41	2000	0.279	0.082
"163"	2	"“020”"	0.33	2000	0.22	0.073
"164"	2	"“023”"	0.64	2000	0.278	0.226
"165"	2	"“100”"	0.26	2000	0.144	0.081
"166"	2	"“103”"	0.51	2000	0.279	0.128
