STATE,NEW.STATE,RUNS.SCORED,Type
000 0,100 0,0,Single
000 1,100 1,0,Single
000 2,100 2,0,Single
001 0,100 0,1,Single
001 1,100 1,1,Single
001 2,100 2,1,Single
010 0,100 0,1,Single
010 1,100 1,1,Single
010 2,100 2,1,Single
011 0,100 0,2,Single
011 1,100 1,2,Single
011 2,100 2,2,Single
100 0,101 0,0,Single
100 1,101 2,0,Single
100 2,101 2,0,Single
101 0,101 0,1,Single
101 1,101 2,1,Single
101 2,101 2,1,Single
110 0,101 0,1,Single
110 1,101 2,1,Single
110 2,101 2,1,Single
111 0,101 0,2,Single
111 1,101 2,2,Single
111 2,101 2,2,Single
000 0,010 0,0,Double
000 1,010 1,0,Double
000 2,010 2,0,Double
001 0,010 0,1,Double
001 1,010 1,1,Double
001 2,010 2,1,Double
010 0,010 0,1,Double
010 1,010 1,1,Double
010 2,010 2,1,Double
011 0,010 0,2,Double
011 1,010 1,2,Double
011 2,010 2,2,Double
100 0,010 0,1,Double
100 1,010 1,1,Double
100 2,010 2,1,Double
101 0,010 0,2,Double
101 1,010 1,2,Double
101 2,010 2,2,Double
110 0,010 0,2,Double
110 1,010 1,2,Double
110 2,010 2,2,Double
111 0,010 0,3,Double
111 1,010 1,3,Double
111 2,010 2,3,Double
000 0,001 0,0,Triple
000 1,001 1,0,Triple
000 2,001 2,0,Triple
001 0,001 0,1,Triple
001 1,001 1,1,Triple
001 2,001 2,1,Triple
010 0,001 0,1,Triple
010 1,001 1,1,Triple
010 2,001 2,1,Triple
011 0,001 0,2,Triple
011 1,001 1,2,Triple
011 2,001 2,2,Triple
100 0,001 0,1,Triple
100 1,001 1,1,Triple
100 2,001 2,1,Triple
101 0,001 0,2,Triple
101 1,001 1,2,Triple
101 2,001 2,2,Triple
110 0,001 0,2,Triple
110 1,001 1,2,Triple
110 2,001 2,2,Triple
111 0,001 0,3,Triple
111 1,001 1,3,Triple
111 2,001 2,3,Triple
000 0,000 0,1,Home Run
000 1,000 1,1,Home Run
000 2,000 2,1,Home Run
001 0,000 0,2,Home Run
001 1,000 1,2,Home Run
001 2,000 2,2,Home Run
010 0,000 0,2,Home Run
010 1,000 1,2,Home Run
010 2,000 2,2,Home Run
011 0,000 0,3,Home Run
011 1,000 1,3,Home Run
011 2,000 2,3,Home Run
100 0,000 0,2,Home Run
100 1,000 1,2,Home Run
100 2,000 2,2,Home Run
101 0,000 0,3,Home Run
101 1,000 1,3,Home Run
101 2,000 2,3,Home Run
110 0,000 0,3,Home Run
110 1,000 1,3,Home Run
110 2,000 2,3,Home Run
111 0,000 0,4,Home Run
111 1,000 1,4,Home Run
111 2,000 2,4,Home Run
000 0,000 1,0,Out
000 1,000 2,0,Out
000 2,3,0,Out
001 0,001 1,0,Out
001 1,001 2,0,Out
001 2,3,0,Out
010 0,010 1,0,Out
010 1,010 2,0,Out
010 2,3,0,Out
011 0,011 1,0,Out
011 1,011 2,0,Out
011 2,3,0,Out
100 0,100 1,0,Out
100 1,100 2,0,Out
100 2,3,0,Out
101 0,101 1,0,Out
101 1,101 2,0,Out
101 2,3,0,Out
110 0,110 1,0,Out
110 1,110 2,0,Out
110 2,3,0,Out
111 0,111 1,0,Out
111 1,111 2,0,Out
111 2,3,0,Out
000 0,100 0,0,Walk
000 1,100 1,0,Walk
000 2,100 2,0,Walk
001 0,101 0,0,Walk
001 1,101 1,0,Walk
001 2,101 2,0,Walk
010 0,110 0,0,Walk
010 1,110 1,0,Walk
010 2,110 2,0,Walk
011 0,111 0,0,Walk
011 1,111 1,0,Walk
011 2,111 2,0,Walk
100 0,110 0,0,Walk
100 1,110 1,0,Walk
100 2,110 2,0,Walk
101 0,111 0,0,Walk
101 1,111 1,0,Walk
101 2,111 2,0,Walk
110 0,111 0,0,Walk
110 1,111 1,0,Walk
110 2,111 2,0,Walk
111 0,111 0,1,Walk
111 1,111 1,1,Walk
111 2,111 2,1,Walk
